"Week","Season Type","Start Date","Completed","Home Id","Home Team","Home Division","Home Conference","Home Points","Away Id","Away Team","Away Division","Away Conference","Away Points"
"1","regular","2024-08-30T00:00:00.000Z","true","55","Jacksonville State","fbs","Conference USA","27","324","Coastal Carolina","fbs","Sun Belt","55"
"1","regular","2024-08-30T00:00:00.000Z","true","2214","Emporia State University","ii","Mid America","30","2687","Washburn","ii","Mid America","14"
"1","regular","2024-08-30T00:00:00.000Z","true","613","South Dakota Mines","ii","Rocky Mountain","6","2570","CSU Pueblo","ii","Rocky Mountain","35"
"1","regular","2024-08-30T00:00:00.000Z","true","2424","New Mexico Highlands","ii","Rocky Mountain","37","2201","Eastern New Mexico","ii","Lone Star","63"
"1","regular","2024-08-30T00:00:00.000Z","true","2658","Texas A&M-Kingsville","ii","Lone Star","13","11","Colorado Mesa","ii","Rocky Mountain","16"
"1","regular","2024-08-30T00:00:00.000Z","true","2123","Chadron St","ii","Rocky Mountain","6","2438","Nebraska-Kearney","ii","Mid America","18"
"1","regular","2024-08-30T00:00:00.000Z","true","2231","Fort Hays State","ii","Mid America","21","2025","Angelo State","ii","Lone Star","7"
"1","regular","2024-08-30T00:00:00.000Z","true","2395","Midwestern State","ii","Lone Star","18","2403","Missouri Southern State","ii","Mid America","11"
"1","regular","2024-08-30T00:00:00.000Z","true","38","Colorado","fbs","Big 12","31","2449","North Dakota State","fcs","MVFC","26"
"1","regular","2024-08-30T00:00:00.000Z","true","2305","Kansas","fbs","Big 12","48","2815","Lindenwood","fcs","Big South-OVC","3"
"1","regular","2024-08-30T00:00:00.000Z","true","233","South Dakota","fcs","MVFC","45","425","Northern State","ii","Northern Sun","3"
"1","regular","2024-08-30T00:00:00.000Z","true","2900","St. Thomas (MN)","fcs","Pioneer","13","2894","Sioux Falls","ii","Northern Sun","34"
"1","regular","2024-08-30T01:00:00.000Z","true","356","Illinois","fbs","Big Ten","45","2197","Eastern Illinois","fcs","Big South-OVC","0"
"1","regular","2024-08-30T01:00:00.000Z","true","254","Utah","fbs","Big 12","49","253","Southern Utah","fcs","UAC","0"
"1","regular","2024-08-30T01:00:00.000Z","true","331","Eastern Washington","fcs","Big Sky","42","2405","Monmouth","fcs","CAA","27"
"1","regular","2024-08-30T02:00:00.000Z","true","23","San José State","fbs","Mountain West","42","16","Sacramento State","fcs","Big Sky","24"
"1","regular","2024-08-30T22:00:00.000Z","true","349","Army","fbs","American Athletic","42","2329","Lehigh","fcs","Patriot","7"
"1","regular","2024-08-30T23:00:00.000Z","true","201","Oklahoma","fbs","SEC","51","218","Temple","fbs","American Athletic","3"
"1","regular","2024-08-30T23:00:00.000Z","true","127","Michigan State","fbs","Big Ten","16","2226","Florida Atlantic","fbs","American Athletic","10"
"1","regular","2024-08-30T23:00:00.000Z","true","311","Maine","fcs","CAA","17","2142","Colgate","fcs","Patriot","14"
"1","regular","2024-08-30T23:30:00.000Z","true","150","Duke","fbs","ACC","26","2210","Elon","fcs","CAA","3"
"1","regular","2024-08-31T01:00:00.000Z","true","275","Wisconsin","fbs","Big Ten","28","2711","Western Michigan","fbs","Mid-American","14"
"1","regular","2024-08-31T02:30:00.000Z","true","24","Stanford","fbs","ACC","27","2628","TCU","fbs","Big 12","34"
"1","regular","2024-08-31T04:00:00.000Z","true","328","Utah State","fbs","Mountain West","36","2523","Robert Morris","fcs","NEC","14"
"1","regular","2024-08-31T16:00:00.000Z","true","97","Louisville","fbs","ACC","62","2046","Austin Peay","fcs","UAC","0"
"1","regular","2024-08-31T16:00:00.000Z","true","2509","Purdue","fbs","Big Ten","49","282","Indiana State","fcs","MVFC","0"
"1","regular","2024-08-31T16:00:00.000Z","true","61","Georgia","fbs","SEC","34","228","Clemson","fbs","ACC","3"
"1","regular","2024-08-31T16:00:00.000Z","true","221","Pittsburgh","fbs","ACC","55","2309","Kent State","fbs","Mid-American","24"
"1","regular","2024-08-31T16:00:00.000Z","true","120","Maryland","fbs","Big Ten","50","41","UConn","fbs","FBS Independents","7"
"1","regular","2024-08-31T16:00:00.000Z","true","238","Vanderbilt","fbs","SEC","34","259","Virginia Tech","fbs","ACC","27"
"1","regular","2024-08-31T16:00:00.000Z","true","2294","Iowa","fbs","Big Ten","40","2287","Illinois State","fcs","MVFC","0"
"1","regular","2024-08-31T16:00:00.000Z","true","2426","Navy","fbs","American Athletic","49","2083","Bucknell","fcs","Patriot","21"
"1","regular","2024-08-31T16:00:00.000Z","true","277","West Virginia","fbs","Big 12","12","213","Penn State","fbs","Big Ten","34"
"1","regular","2024-08-31T16:00:00.000Z","true","2168","Dayton","fcs","Pioneer","18","2598","St. Francis (PA)","fcs","NEC","10"
"1","regular","2024-08-31T16:00:00.000Z","true","2681","Wagner","fcs","NEC","46","2355","Virginia University Of Lynchburg","","","7"
"1","regular","2024-08-31T16:30:00.000Z","true","46","Georgetown","fcs","Patriot","46","2166","Davidson","fcs","Pioneer","24"
"1","regular","2024-08-31T16:45:00.000Z","true","2633","Tennessee","fbs","SEC","69","236","Chattanooga","fcs","Southern","3"
"1","regular","2024-08-31T17:00:00.000Z","true","124180","Bluefield State","ii","CIAA","3","2736","Winston-Salem","ii","CIAA","34"
"1","regular","2024-08-31T17:00:00.000Z","true","2551","Shaw","ii","CIAA","17","2207","Elizabeth City State","ii","CIAA","13"
"1","regular","2024-08-31T17:00:00.000Z","true","2213","Emory & Henry College","ii","South Atlantic","38","2249","Glenville State","ii","Mountain East","7"
"1","regular","2024-08-31T17:00:00.000Z","true","126086","Post University","ii","Northeast 10","41","455","West Virginia Wesleyan","ii","Mountain East","24"
"1","regular","2024-08-31T17:00:00.000Z","true","2232","Fort Valley State","ii","SIAC","42","2805","Clark Atlanta","ii","SIAC","45"
"1","regular","2024-08-31T17:00:00.000Z","true","2086","Butler","fcs","Pioneer","40","389","Upper Iowa University","ii","Great Lakes","7"
"1","regular","2024-08-31T18:00:00.000Z","true","197","Oklahoma State","fbs","Big 12","44","2571","South Dakota State","fcs","MVFC","20"
"1","regular","2024-08-31T18:30:00.000Z","true","2132","Cincinnati","fbs","Big 12","38","119","Towson","fcs","CAA","20"
"1","regular","2024-08-31T19:00:00.000Z","true","2310","Kentucky State","ii","SIAC","7","2676","Virginia Union","ii","CIAA","69"
"1","regular","2024-08-31T19:00:00.000Z","true","265","Washington State","fbs","Pac-12","70","2502","Portland State","fcs","Big Sky","30"
"1","regular","2024-08-31T19:00:00.000Z","true","60","Morehouse College","ii","SIAC","11","2206","Edward Waters","ii","SIAC","28"
"1","regular","2024-08-31T19:00:00.000Z","true","101784","ERSKINE","ii","Gulf South","52","111610","Laurinburg","","","0"
"1","regular","2024-08-31T19:30:00.000Z","true","66","Iowa State","fbs","Big 12","21","155","North Dakota","fcs","MVFC","3"
"1","regular","2024-08-31T19:30:00.000Z","true","158","Nebraska","fbs","Big Ten","40","2638","UTEP","fbs","Conference USA","7"
"1","regular","2024-08-31T19:30:00.000Z","true","2459","Northern Illinois","fbs","Mid-American","54","2710","Western Illinois","fcs","Big South-OVC","15"
"1","regular","2024-08-31T19:30:00.000Z","true","113","Massachusetts","fbs","FBS Independents","14","2199","Eastern Michigan","fbs","Mid-American","28"
"1","regular","2024-08-31T19:30:00.000Z","true","2026","App State","fbs","Sun Belt","38","2193","East Tennessee State","fcs","Southern","10"
"1","regular","2024-08-31T19:30:00.000Z","true","2005","Air Force","fbs","Mountain West","21","2771","Merrimack","fcs","FCS Independents","6"
"1","regular","2024-08-31T19:30:00.000Z","true","84","Indiana","fbs","Big Ten","31","2229","Florida International","fbs","Conference USA","7"
"1","regular","2024-08-31T19:30:00.000Z","true","194","Ohio State","fbs","Big Ten","52","2006","Akron","fbs","Mid-American","6"
"1","regular","2024-08-31T19:30:00.000Z","true","77","Northwestern","fbs","Big Ten","13","193","Miami (OH)","fbs","Mid-American","6"
"1","regular","2024-08-31T19:30:00.000Z","true","2636","UTSA","fbs","American Athletic","28","338","Kennesaw State","fbs","Conference USA","16"
"1","regular","2024-08-31T19:30:00.000Z","true","183","Syracuse","fbs","ACC","38","195","Ohio","fbs","Mid-American","22"
"1","regular","2024-08-31T19:30:00.000Z","true","251","Texas","fbs","SEC","52","36","Colorado State","fbs","Mountain West","0"
"1","regular","2024-08-31T19:30:00.000Z","true","57","Florida","fbs","SEC","17","2390","Miami","fbs","ACC","41"
"1","regular","2024-08-31T20:00:00.000Z","true","2237","Fort Lewis","ii","Rocky Mountain","20","2911","William Jewell","ii","Great Lakes","35"
"1","regular","2024-08-31T20:00:00.000Z","true","290","Georgia Southern","fbs","Sun Belt","45","68","Boise State","fbs","Mountain West","56"
"1","regular","2024-08-31T20:00:00.000Z","true","2464","Northern Arizona","fcs","Big Sky","66","124179","Lincoln (CA)","ii","Independent DII","6"
"1","regular","2024-08-31T20:15:00.000Z","true","2579","South Carolina","fbs","SEC","23","295","Old Dominion","fbs","Sun Belt","19"
"1","regular","2024-08-31T21:00:00.000Z","true","2460","Northern Iowa","fcs","MVFC","35","2674","Valparaiso","fcs","Pioneer","7"
"1","regular","2024-08-31T21:00:00.000Z","true","25","California","fbs","ACC","31","302","UC Davis","fcs","Big Sky","13"
"1","regular","2024-08-31T21:00:00.000Z","true","276","Marshall","fbs","Sun Belt","45","2619","Stony Brook","fcs","CAA","3"
"1","regular","2024-08-31T21:00:00.000Z","true","6","South Alabama","fbs","Sun Belt","38","249","North Texas","fbs","American Athletic","52"
"1","regular","2024-08-31T22:00:00.000Z","true","2940","Livingstone","ii","CIAA","7","2128","University Of Charleston (WV)","ii","Mountain East","38"
"1","regular","2024-08-31T22:00:00.000Z","true","2127","Charleston Southern","fcs","Big South-OVC","21","2643","The Citadel","fcs","Southern","22"
"1","regular","2024-08-31T22:00:00.000Z","true","2634","Tennessee State","fcs","Big South-OVC","41","2400","Mississippi Valley State","fcs","SWAC","21"
"1","regular","2024-08-31T22:00:00.000Z","true","50","Florida A&M","fcs","SWAC","22","2569","South Carolina State","fcs","MEAC","18"
"1","regular","2024-08-31T22:00:00.000Z","true","151","East Carolina","fbs","American Athletic","42","2450","Norfolk State","fcs","MEAC","3"
"1","regular","2024-08-31T22:00:00.000Z","true","2261","Hampton","fcs","CAA","28","2415","Morgan State","fcs","MEAC","30"
"1","regular","2024-08-31T22:00:00.000Z","true","2529","Sacred Heart","fcs","FCS Independents","15","2169","Delaware State","fcs","MEAC","17"
"1","regular","2024-08-31T22:00:00.000Z","true","2335","Liberty","fbs","Conference USA","41","2097","Campbell","fcs","CAA","24"
"1","regular","2024-08-31T22:00:00.000Z","true","344","Mississippi State","fbs","SEC","56","2198","Eastern Kentucky","fcs","UAC","7"
"1","regular","2024-08-31T22:00:00.000Z","true","2882","UNC Pembroke","ii","Mountain East","12","351","Wingate","ii","South Atlantic","17"
"1","regular","2024-08-31T22:00:00.000Z","true","56","Stetson","fcs","Pioneer","41","3178","Ave Maria University","","","3"
"1","regular","2024-08-31T22:00:00.000Z","true","258","Virginia","fbs","ACC","34","257","Richmond","fcs","CAA","13"
"1","regular","2024-08-31T22:00:00.000Z","true","2698","West Georgia","fcs","UAC","38","2535","Samford","fcs","Southern","29"
"1","regular","2024-08-31T22:30:00.000Z","true","204","Oregon State","fbs","Pac-12","38","304","Idaho State","fcs","Big Sky","15"
"1","regular","2024-08-31T23:00:00.000Z","true","145","Ole Miss","fbs","SEC","76","231","Furman","fcs","Southern","0"
"1","regular","2024-08-31T23:00:00.000Z","true","242","Rice","fbs","American Athletic","14","2534","Sam Houston","fbs","Conference USA","34"
"1","regular","2024-08-31T23:00:00.000Z","true","248","Houston","fbs","Big 12","7","2439","UNLV","fbs","Mountain West","27"
"1","regular","2024-08-31T23:00:00.000Z","true","2653","Troy","fbs","Sun Belt","26","2440","Nevada","fbs","Mountain West","28"
"1","regular","2024-08-31T23:00:00.000Z","true","110243","UT Permian Basin","ii","Lone Star","41","2703","Western New Mexico","ii","Lone Star","3"
"1","regular","2024-08-31T23:00:00.000Z","true","2916","Incarnate Word","fcs","Southland","28","2458","Northern Colorado","fcs","Big Sky","7"
"1","regular","2024-08-31T23:00:00.000Z","true","399","UAlbany","fcs","CAA","27","2341","Long Island University","fcs","NEC","21"
"1","regular","2024-08-31T23:00:00.000Z","true","2673","Valdosta State","ii","Gulf South","42","2013","Albany State GA","ii","SIAC","10"
"1","regular","2024-08-31T23:00:00.000Z","true","58","South Florida","fbs","American Athletic","48","2065","Bethune-Cookman","fcs","SWAC","3"
"1","regular","2024-08-31T23:00:00.000Z","true","227","Rhode Island","fcs","CAA","20","107","Holy Cross","fcs","Patriot","17"
"1","regular","2024-08-31T23:00:00.000Z","true","2032","Arkansas State","fbs","Sun Belt","34","2110","Central Arkansas","fcs","UAC","31"
"1","regular","2024-08-31T23:00:00.000Z","true","2393","Middle Tennessee","fbs","Conference USA","32","2635","Tennessee Tech","fcs","Big South-OVC","25"
"1","regular","2024-08-31T23:00:00.000Z","true","2306","Kansas State","fbs","Big 12","41","2630","UT Martin","fcs","Big South-OVC","6"
"1","regular","2024-08-31T23:00:00.000Z","true","333","Alabama","fbs","SEC","63","98","Western Kentucky","fbs","Conference USA","0"
"1","regular","2024-08-31T23:00:00.000Z","true","2695","West Alabama","ii","Gulf South","16","2396","Miles College","ii","SIAC","15"
"1","regular","2024-08-31T23:00:00.000Z","true","235","Memphis","fbs","American Athletic","40","2453","North Alabama","fcs","UAC","0"
"1","regular","2024-08-31T23:00:00.000Z","true","2504","Prairie View A&M","fcs","SWAC","9","2640","Texas Southern","fcs","SWAC","27"
"1","regular","2024-08-31T23:00:00.000Z","true","239","Baylor","fbs","Big 12","45","2627","Tarleton State","fcs","UAC","3"
"1","regular","2024-08-31T23:30:00.000Z","true","2641","Texas Tech","fbs","Big 12","52","2000","Abilene Christian","fcs","UAC","51"
"1","regular","2024-08-31T23:30:00.000Z","true","62","Hawai'i","fbs","Mountain West","13","26","UCLA","fbs","Big Ten","16"
"1","regular","2024-08-31T23:30:00.000Z","true","2","Auburn","fbs","SEC","73","2010","Alabama A&M","fcs","SWAC","3"
"1","regular","2024-08-31T23:30:00.000Z","true","245","Texas A&M","fbs","SEC","13","87","Notre Dame","fbs","FBS Independents","23"
"1","regular","2024-08-31T23:30:00.000Z","true","130","Michigan","fbs","Big Ten","30","278","Fresno State","fbs","Mountain West","10"
"1","regular","2024-08-31T23:30:00.000Z","true","2483","Oregon","fbs","Big Ten","24","70","Idaho","fcs","Big Sky","14"
"1","regular","2024-08-31T23:45:00.000Z","true","96","Kentucky","fbs","SEC","31","2572","Southern Miss","fbs","Sun Belt","0"
"1","regular","2024-09-01T00:00:00.000Z","true","21","San Diego State","fbs","Mountain West","45","2837","East Texas A&M","fcs","Southland","14"
"1","regular","2024-09-01T00:00:00.000Z","true","59","Georgia Tech","fbs","ACC","35","2247","Georgia State","fbs","Sun Belt","12"
"1","regular","2024-09-01T00:00:00.000Z","true","2429","Charlotte","fbs","American Athletic","7","256","James Madison","fbs","Sun Belt","30"
"1","regular","2024-09-01T00:00:00.000Z","true","90","Pittsburg St","ii","Mid America","19","2222","Ferris State","ii","GLIAC","3"
"1","regular","2024-09-01T00:00:00.000Z","true","2377","McNeese","fcs","Southland","21","2582","Southern","fcs","SWAC","7"
"1","regular","2024-09-01T00:00:00.000Z","true","2348","Louisiana Tech","fbs","Conference USA","25","2447","Nicholls","fcs","Southland","17"
