"Week","SeasonType","StartDate","Completed","HomeId","HomeTeam","HomeClassification","HomeConference","HomePoints","AwayId","AwayTeam","AwayClassification","AwayConference","AwayPoints"
"1","regular","2025-08-23T16:00:00.000Z","true","2306","Kansas State","fbs","Big 12","21","66","Iowa State","fbs","Big 12","24"
"1","regular","2025-08-23T17:00:00.000Z","true","2447","Nicholls","fcs","Southland","20","2916","Incarnate Word","fcs","Southland","6"
"1","regular","2025-08-23T20:00:00.000Z","true","2439","UNLV","fbs","Mountain West","38","304","Idaho State","fcs","Big Sky","31"
"1","regular","2025-08-23T20:30:00.000Z","true","2502","Portland State","fcs","Big Sky","0","2627","Tarleton State","fcs","UAC","42"
"1","regular","2025-08-23T22:30:00.000Z","true","2305","Kansas","fbs","Big 12","31","278","Fresno State","fbs","Mountain West","7"
"1","regular","2025-08-23T23:00:00.000Z","true","98","Western Kentucky","fbs","Conference USA","41","2534","Sam Houston","fbs","Conference USA","24"
"1","regular","2025-08-23T23:30:00.000Z","true","2582","Southern","fcs","SWAC","14","2428","North Carolina Central","fcs","MEAC","31"
"1","regular","2025-08-23T23:30:00.000Z","true","62","Hawai'i","fbs","Mountain West","23","24","Stanford","fbs","ACC","20"
"1","regular","2025-08-28T19:00:00.000Z","true","2120","Central Washington","ii","Lone Star","41","11","Colorado Mesa","ii","Rocky Mountain","14"
"1","regular","2025-08-28T21:30:00.000Z","true","58","South Florida","fbs","American Athletic","34","68","Boise State","fbs","Mountain West","7"
"1","regular","2025-08-28T22:00:00.000Z","true","2754","Youngstown State","fcs","MVFC","24","2385","Mercyhurst","fcs","NEC","15"
"1","regular","2025-08-28T22:00:00.000Z","true","129","Saginaw Valley State","ii","GLIAC","21","196","Northeastern State","ii","Independent DII","28"
"1","regular","2025-08-28T22:00:00.000Z","true","189","Bowling Green","fbs","Mid-American","26","322","Lafayette","fcs","Patriot","7"
"1","regular","2025-08-28T22:00:00.000Z","true","2392","Michigan Tech","ii","GLIAC","37","132","Bemidji State","ii","Northern Sun","17"
"1","regular","2025-08-28T22:00:00.000Z","true","164","Rutgers","fbs","Big Ten","34","195","Ohio","fbs","Mid-American","31"
"1","regular","2025-08-28T22:00:00.000Z","true","2366","Marian College","","","21","2292","Indianapolis","ii","Great Lakes","45"
"1","regular","2025-08-28T22:00:00.000Z","true","2134","Clarion","ii","Pennsylvania State Athletic","34","112335","Wheeling","ii","Mountain East","0"
"1","regular","2025-08-28T23:00:00.000Z","true","2364","Minnesota State Mankato","ii","Northern Sun","38","138","Northwest Missouri St","ii","Mid America","14"
"1","regular","2025-08-28T23:00:00.000Z","true","48","Delaware","fbs","Conference USA","35","2169","Delaware State","fcs","MEAC","17"
"1","regular","2025-08-28T23:00:00.000Z","true","611","Seton Hill","ii","Pennsylvania State Athletic","21","2986","Fairmont State","ii","Mountain East","24"
"1","regular","2025-08-28T23:00:00.000Z","true","2116","UCF","fbs","Big 12","17","55","Jacksonville State","fbs","Conference USA","10"
"1","regular","2025-08-28T23:00:00.000Z","true","2433","UL Monroe","fbs","Sun Belt","29","2598","St. Francis (PA)","fcs","NEC","0"
"1","regular","2025-08-28T23:00:00.000Z","true","128","Northern Michigan","ii","GLIAC","37","2817","Minnesota State Moorhead","ii","Northern Sun","44"
"1","regular","2025-08-28T23:00:00.000Z","true","2006","Akron","fbs","Mid-American","0","2751","Wyoming","fbs","Mountain West","10"
"1","regular","2025-08-28T23:00:00.000Z","true","2450","Norfolk State","fcs","MEAC","7","119","Towson","fcs","CAA","27"
"1","regular","2025-08-28T23:00:00.000Z","true","2170","Delta State","ii","Gulf South","31","2118","Central Missouri","ii","Mid America","23"
"1","regular","2025-08-28T23:00:00.000Z","true","2682","Walsh","ii","Great Midwest Athletic","38","2699","West Liberty","ii","Mountain East","10"
"1","regular","2025-08-28T23:00:00.000Z","true","2222","Ferris State","ii","GLIAC","34","90","Pittsburg St","ii","Mid America","17"
"1","regular","2025-08-28T23:00:00.000Z","true","122666","Wilson","ii","Carolinas","7","330","Virginia St","ii","CIAA","35"
"1","regular","2025-08-28T23:00:00.000Z","true","282","Indiana State","fcs","MVFC","41","2816","McKendree","ii","Great Lakes","24"
"1","regular","2025-08-28T23:00:00.000Z","true","152","NC State","fbs","ACC","24","151","East Carolina","fbs","American Athletic","17"
"1","regular","2025-08-28T23:00:00.000Z","true","2900","St. Thomas (MN)","fcs","Pioneer","35","2815","Lindenwood","fcs","Big South-OVC","13"
"1","regular","2025-08-28T23:00:00.000Z","true","2197","Eastern Illinois","fcs","Big South-OVC","24","2168","Dayton","fcs","Pioneer","14"
"1","regular","2025-08-28T23:00:00.000Z","true","2844","Wayne State (NE)","ii","Northern Sun","21","2438","Nebraska-Kearney","ii","Mid America","28"
"1","regular","2025-08-28T23:00:00.000Z","true","2128","University Of Charleston (WV)","ii","Mountain East","39","2940","Livingstone","ii","CIAA","10"
"1","regular","2025-08-28T23:05:00.000Z","true","2188","East Stroudsburg University","ii","Pennsylvania State Athletic","14","2205","Edinboro University","ii","Pennsylvania State Athletic","29"
"1","regular","2025-08-28T23:30:00.000Z","true","197","Oklahoma State","fbs","Big 12","27","2630","UT Martin","fcs","Big South-OVC","7"
"1","regular","2025-08-28T23:30:00.000Z","true","2825","Quincy","ii","Great Lakes","38","3066","Concordia University St Paul","ii","Northern Sun","7"
"1","regular","2025-08-28T23:30:00.000Z","true","2277","Houston Christian","fcs","Southland","69","124386","Little Rock","","","0"
"1","regular","2025-08-28T23:30:00.000Z","true","559","University of Mary","ii","Northern Sun","28","565","Midland Lutheran College","","","22"
"1","regular","2025-08-28T23:30:00.000Z","true","150","Duke","fbs","ACC","45","2210","Elon","fcs","CAA","17"
"1","regular","2025-08-28T23:30:00.000Z","true","142","Missouri","fbs","SEC","61","2110","Central Arkansas","fcs","UAC","6"
"1","regular","2025-08-28T23:30:00.000Z","true","2181","Drake","fcs","Pioneer","41","389","Upper Iowa University","ii","Great Lakes","7"
"1","regular","2025-08-28T23:30:00.000Z","true","2535","Samford","fcs","Southern","3","2698","West Georgia","fcs","UAC","34"
"1","regular","2025-08-29T00:00:00.000Z","true","2069","Black Hills State","ii","Rocky Mountain","21","2894","Sioux Falls","ii","Northern Sun","27"
"1","regular","2025-08-29T00:00:00.000Z","true","2231","Fort Hays State","ii","Mid America","7","2025","Angelo State","ii","Lone Star","28"
"1","regular","2025-08-29T00:00:00.000Z","true","2466","Northwestern State","fcs","Southland","20","2016","Alcorn State","fcs","SWAC","10"
"1","regular","2025-08-29T00:00:00.000Z","true","2851","Winona State","ii","Northern Sun","7","134","Minnesota Duluth","ii","Northern Sun","35"
"1","regular","2025-08-29T00:00:00.000Z","true","2714","Western Colorado","ii","Rocky Mountain","45","2704","West Texas A&M","ii","Lone Star","28"
"1","regular","2025-08-29T00:00:00.000Z","true","2570","CSU Pueblo","ii","Rocky Mountain","43","613","South Dakota Mines","ii","Rocky Mountain","0"
"1","regular","2025-08-29T00:00:00.000Z","true","248","Houston","fbs","Big 12","27","2617","Stephen F. Austin","fcs","Southland","0"
"1","regular","2025-08-29T00:00:00.000Z","true","2214","Emporia State University","ii","Mid America","27","568","Minot State","ii","Northern Sun","7"
"1","regular","2025-08-29T00:00:00.000Z","true","135","Minnesota","fbs","Big Ten","23","2084","Buffalo","fbs","Mid-American","10"
"1","regular","2025-08-29T00:00:00.000Z","true","2201","Eastern New Mexico","ii","Lone Star","28","2424","New Mexico Highlands","ii","Rocky Mountain","34"
"1","regular","2025-08-29T00:30:00.000Z","true","5","UAB","fbs","American Athletic","52","2011","Alabama State","fcs","SWAC","42"
"1","regular","2025-08-29T01:00:00.000Z","true","275","Wisconsin","fbs","Big Ten","17","193","Miami (OH)","fbs","Mid-American","0"
"1","regular","2025-08-29T01:00:00.000Z","true","2132","Cincinnati","fbs","Big 12","17","158","Nebraska","fbs","Big Ten","20"
"1","regular","2025-08-29T02:00:00.000Z","true","21","San Diego State","fbs","Mountain West","42","2619","Stony Brook","fcs","CAA","0"
"1","regular","2025-08-29T22:00:00.000Z","true","227","Rhode Island","fcs","CAA","31","2097","Campbell","fcs","CAA","20"
"1","regular","2025-08-29T22:00:00.000Z","true","349","Army","fbs","American Athletic","27","2627","Tarleton State","fcs","UAC","30"
"1","regular","2025-08-29T23:00:00.000Z","true","154","Wake Forest","fbs","ACC","10","338","Kennesaw State","fbs","Conference USA","9"
"1","regular","2025-08-29T23:00:00.000Z","true","2368","Marist","fcs","Pioneer","31","2441","New Haven","fcs","NEC","14"
"1","regular","2025-08-29T23:00:00.000Z","true","2142","Colgate","fcs","Patriot","39","2405","Monmouth","fcs","CAA","42"
"1","regular","2025-08-29T23:00:00.000Z","true","110242","West Florida","ii","Gulf South","48","2331","Lenoir-Rhyne","ii","South Atlantic","21"
"1","regular","2025-08-29T23:00:00.000Z","true","2429","Charlotte","fbs","American Athletic","11","2026","App State","fbs","Sun Belt","34"
"1","regular","2025-08-29T23:00:00.000Z","true","2229","Florida International","fbs","Conference USA","42","2065","Bethune-Cookman","fcs","SWAC","9"
"1","regular","2025-08-29T23:00:00.000Z","true","127","Michigan State","fbs","Big Ten","23","2711","Western Michigan","fbs","Mid-American","6"
"1","regular","2025-08-29T23:30:00.000Z","true","2305","Kansas","fbs","Big 12","46","2681","Wagner","fcs","NEC","7"
"1","regular","2025-08-29T23:30:00.000Z","true","356","Illinois","fbs","Big Ten","52","2710","Western Illinois","fcs","Big South-OVC","3"
"1","regular","2025-08-30T00:00:00.000Z","true","239","Baylor","fbs","Big 12","24","2","Auburn","fbs","SEC","38"
"1","regular","2025-08-30T00:00:00.000Z","true","38","Colorado","fbs","Big 12","20","59","Georgia Tech","fbs","ACC","27"
"1","regular","2025-08-30T01:30:00.000Z","true","2534","Sam Houston","fbs","Conference USA","21","2439","UNLV","fbs","Mountain West","38"
"1","regular","2025-08-30T02:30:00.000Z","true","23","San José State","fbs","Mountain West","14","2117","Central Michigan","fbs","Mid-American","16"
"1","regular","2025-08-30T04:00:00.000Z","true","2249","Glenville State","ii","Mountain East","17","2213","Emory & Henry College","ii","South Atlantic","45"
"1","regular","2025-08-30T16:00:00.000Z","true","2105","Carson-Newman College","ii","South Atlantic","41","2707","West Virginia State","ii","Mountain East","10"
"1","regular","2025-08-30T16:00:00.000Z","true","221","Pittsburgh","fbs","ACC","61","2184","Duquesne","fcs","NEC","9"
"1","regular","2025-08-30T16:00:00.000Z","true","2572","Southern Miss","fbs","Sun Belt","17","344","Mississippi State","fbs","SEC","34"
"1","regular","2025-08-30T16:00:00.000Z","true","2329","Lehigh","fcs","Patriot","21","257","Richmond","fcs","Patriot","14"
"1","regular","2025-08-30T16:00:00.000Z","true","2643","The Citadel","fcs","Southern","0","2449","North Dakota State","fcs","MVFC","38"
"1","regular","2025-08-30T16:00:00.000Z","true","2509","Purdue","fbs","Big Ten","31","2050","Ball State","fbs","Mid-American","0"
"1","regular","2025-08-30T16:00:00.000Z","true","2655","Tulane","fbs","American Athletic","23","77","Northwestern","fbs","Big Ten","3"
"1","regular","2025-08-30T16:00:00.000Z","true","120","Maryland","fbs","Big Ten","39","2226","Florida Atlantic","fbs","American Athletic","7"
"1","regular","2025-08-30T16:00:00.000Z","true","2633","Tennessee","fbs","SEC","45","183","Syracuse","fbs","ACC","26"
"1","regular","2025-08-30T16:00:00.000Z","true","367","Gannon","ii","Pennsylvania State Athletic","12","110254","Davenport","ii","GLIAC","21"
"1","regular","2025-08-30T16:00:00.000Z","true","2309","Kent State","fbs","Mid-American","21","2771","Merrimack","fcs","FCS Independents","17"
"1","regular","2025-08-30T16:00:00.000Z","true","2560","Shorter","ii","Carolinas","7","129469","Anderson (Sc)","ii","South Atlantic","34"
"1","regular","2025-08-30T16:00:00.000Z","true","2426","Navy","fbs","American Athletic","52","2678","VMI","fcs","Southern","7"
"1","regular","2025-08-30T16:00:00.000Z","true","194","Ohio State","fbs","Big Ten","14","251","Texas","fbs","SEC","7"
"1","regular","2025-08-30T16:45:00.000Z","true","96","Kentucky","fbs","SEC","24","2649","Toledo","fbs","Mid-American","16"
"1","regular","2025-08-30T17:00:00.000Z","true","2119","Central State (OH)","ii","SIAC","24","2310","Kentucky State","ii","SIAC","34"
"1","regular","2025-08-30T17:00:00.000Z","true","2805","Clark Atlanta","ii","SIAC","28","2673","Valdosta State","ii","Gulf South","31"
"1","regular","2025-08-30T17:00:00.000Z","true","125","Grand Valley State University","ii","GLIAC","45","2339","Lincoln (PA)","ii","CIAA","9"
"1","regular","2025-08-30T17:00:00.000Z","true","2166","Davidson","fcs","Pioneer","14","46","Georgetown","fcs","Patriot","51"
"1","regular","2025-08-30T17:00:00.000Z","true","2635","Tennessee Tech","fcs","Big South-OVC","65","2161","Cumberland (TN)","","","0"
"1","regular","2025-08-30T17:00:00.000Z","true","2551","Shaw","ii","CIAA","7","2013","Albany State GA","ii","SIAC","51"
"1","regular","2025-08-30T17:00:00.000Z","true","126086","Post University","ii","Northeast 10","51","455","West Virginia Wesleyan","ii","Mountain East","14"
"1","regular","2025-08-30T18:00:00.000Z","true","103","Boston College","fbs","ACC","66","2230","Fordham","fcs","Patriot","10"
"1","regular","2025-08-30T18:00:00.000Z","true","2043","Augustana University (SD)","ii","Northern Sun","30","137","Missouri Western","ii","Mid America","26"
"1","regular","2025-08-30T18:00:00.000Z","true","2460","Northern Iowa","fcs","MVFC","38","2086","Butler","fcs","Pioneer","14"
"1","regular","2025-08-30T18:00:00.000Z","true","2687","Washburn","ii","Mid America","20","2654","Truman State","ii","Great Lakes","17"
"1","regular","2025-08-30T18:00:00.000Z","true","2529","Sacred Heart","fcs","FCS Independents","12","284","Stonehill","fcs","NEC","7"
"1","regular","2025-08-30T18:00:00.000Z","true","2237","Fort Lewis","ii","Rocky Mountain","14","2911","William Jewell","ii","Great Lakes","34"
"1","regular","2025-08-30T18:00:00.000Z","true","2674","Valparaiso","fcs","Pioneer","67","2355","Virginia University Of Lynchburg","","","10"
"1","regular","2025-08-30T18:00:00.000Z","true","231","Furman","fcs","Southern","23","2729","William & Mary","fcs","CAA","21"
"1","regular","2025-08-30T18:00:00.000Z","true","277","West Virginia","fbs","Big 12","45","2523","Robert Morris","fcs","NEC","3"
"1","regular","2025-08-30T18:00:00.000Z","true","41","UConn","fbs","FBS Independents","59","2115","Central Connecticut","fcs","NEC","13"
"1","regular","2025-08-30T18:30:00.000Z","true","84","Indiana","fbs","Big Ten","27","295","Old Dominion","fbs","Sun Belt","14"
"1","regular","2025-08-30T19:00:00.000Z","true","2296","Jackson State","fcs","SWAC","28","2261","Hampton","fcs","CAA","14"
"1","regular","2025-08-30T19:00:00.000Z","true","2458","Northern Colorado","fcs","Big Sky","17","2123","Chadron St","ii","Rocky Mountain","3"
"1","regular","2025-08-30T19:00:00.000Z","true","60","Morehouse College","ii","SIAC","9","2304","Johnson C Smith","ii","CIAA","45"
"1","regular","2025-08-30T19:00:00.000Z","true","97","Louisville","fbs","ACC","51","2198","Eastern Kentucky","fcs","UAC","17"
"1","regular","2025-08-30T19:30:00.000Z","true","66","Iowa State","fbs","Big 12","55","233","South Dakota","fcs","MVFC","7"
"1","regular","2025-08-30T19:30:00.000Z","true","2459","Northern Illinois","fbs","Mid-American","19","107","Holy Cross","fcs","Patriot","17"
"1","regular","2025-08-30T19:30:00.000Z","true","52","Florida State","fbs","ACC","31","333","Alabama","fbs","SEC","17"
"1","regular","2025-08-30T19:30:00.000Z","true","113","Massachusetts","fbs","Mid-American","10","218","Temple","fbs","American Athletic","42"
"1","regular","2025-08-30T19:30:00.000Z","true","2005","Air Force","fbs","Mountain West","49","2083","Bucknell","fcs","Patriot","13"
"1","regular","2025-08-30T19:30:00.000Z","true","213","Penn State","fbs","Big Ten","46","2440","Nevada","fbs","Mountain West","11"
"1","regular","2025-08-30T19:30:00.000Z","true","61","Georgia","fbs","SEC","45","276","Marshall","fbs","Sun Belt","7"
"1","regular","2025-08-30T20:00:00.000Z","true","2335","Liberty","fbs","Conference USA","28","311","Maine","fcs","CAA","7"
"1","regular","2025-08-30T20:00:00.000Z","true","2483","Oregon","fbs","Big Ten","59","147","Montana State","fcs","Big Sky","13"
"1","regular","2025-08-30T20:00:00.000Z","true","50","Florida A&M","fcs","SWAC","9","47","Howard","fcs","MEAC","10"
"1","regular","2025-08-30T20:15:00.000Z","true","8","Arkansas","fbs","SEC","52","2010","Alabama A&M","fcs","SWAC","7"
"1","regular","2025-08-30T20:30:00.000Z","true","235","Memphis","fbs","American Athletic","45","236","Chattanooga","fcs","Southern","10"
"1","regular","2025-08-30T20:30:00.000Z","true","2634","Tennessee State","fcs","Big South-OVC","24","2448","North Carolina A&T","fcs","CAA","21"
"1","regular","2025-08-30T21:00:00.000Z","true","490","Benedict College","ii","SIAC","10","2220","Fayetteville State","ii","CIAA","0"
"1","regular","2025-08-30T21:00:00.000Z","true","2400","Mississippi Valley State","fcs","SWAC","29","2582","Southern","fcs","SWAC","34"
"1","regular","2025-08-30T21:00:00.000Z","true","2487","Pace","ii","Northeast 10","10","2830","St. Anselm","ii","Northeast 10","34"
"1","regular","2025-08-30T21:30:00.000Z","true","2193","East Tennessee State","fcs","Southern","45","93","Murray State","fcs","MVFC","17"
"1","regular","2025-08-30T22:00:00.000Z","true","258","Virginia","fbs","ACC","48","324","Coastal Carolina","fbs","Sun Belt","7"
"1","regular","2025-08-30T22:00:00.000Z","true","2569","South Carolina State","fcs","MEAC","16","2747","Wofford","fcs","Southern","15"
"1","regular","2025-08-30T22:00:00.000Z","true","2294","Iowa","fbs","Big Ten","34","399","UAlbany","fcs","CAA","7"
"1","regular","2025-08-30T22:00:00.000Z","true","2717","Western Carolina","fcs","Southern","45","2241","Gardner-Webb","fcs","Big South-OVC","52"
"1","regular","2025-08-30T22:00:00.000Z","true","2382","Mercer","fcs","Southern","10","2506","Presbyterian","fcs","Pioneer","15"
"1","regular","2025-08-30T22:00:00.000Z","true","341","Frostburg State","ii","Mountain East","41","2974","Shepherd","ii","Pennsylvania State Athletic","27"
"1","regular","2025-08-30T22:00:00.000Z","true","256","James Madison","fbs","Sun Belt","45","2692","Weber State","fcs","Big Sky","10"
"1","regular","2025-08-30T22:00:00.000Z","true","2107","Catawba","ii","South Atlantic","45","366","Ferrum","ii","Carolinas","13"
"1","regular","2025-08-30T22:00:00.000Z","true","2804","Chowan","ii","Carolinas","28","2207","Elizabeth City State","ii","CIAA","14"
"1","regular","2025-08-30T22:00:00.000Z","true","2542","Savannah St","ii","SIAC","14","2206","Edward Waters","ii","SIAC","41"
"1","regular","2025-08-30T22:00:00.000Z","true","56","Stetson","fcs","Pioneer","21","2691","Webber International","","","31"
"1","regular","2025-08-30T22:00:00.000Z","true","2413","Morehead State","fcs","Pioneer","38","2019","Allen","ii","SIAC","31"
"1","regular","2025-08-30T22:00:00.000Z","true","2842","UVA Wise","ii","South Atlantic","29","2148","Concord University","ii","Mountain East","37"
"1","regular","2025-08-30T22:00:00.000Z","true","201","Oklahoma","fbs","SEC","35","2287","Illinois State","fcs","MVFC","3"
"1","regular","2025-08-30T22:00:00.000Z","true","2428","North Carolina Central","fcs","MEAC","10","160","New Hampshire","fcs","CAA","27"
"1","regular","2025-08-30T22:00:00.000Z","true","351","Wingate","ii","South Atlantic","30","2882","UNC Pembroke","ii","Carolinas","21"
"1","regular","2025-08-30T22:15:00.000Z","true","2695","West Alabama","ii","Gulf South","27","2232","Fort Valley State","ii","SIAC","17"
"1","regular","2025-08-30T22:30:00.000Z","true","2876","Lincoln (MO)","ii","Great Lakes","55","124179","Lincoln (CA)","ii","Independent DII","6"
"1","regular","2025-08-30T23:00:00.000Z","true","2571","South Dakota State","fcs","MVFC","20","16","Sacramento State","fcs","Big Sky","3"
"1","regular","2025-08-30T23:00:00.000Z","true","98","Western Kentucky","fbs","Conference USA","55","2453","North Alabama","fcs","UAC","6"
"1","regular","2025-08-30T23:00:00.000Z","true","2402","Missouri S&T","ii","Great Lakes","51","2860","Central Methodist","","","10"
"1","regular","2025-08-30T23:00:00.000Z","true","245","Texas A&M","fbs","SEC","42","2636","UTSA","fbs","American Athletic","24"
"1","regular","2025-08-30T23:00:00.000Z","true","2032","Arkansas State","fbs","Sun Belt","42","2546","Southeast Missouri State","fcs","Big South-OVC","24"
"1","regular","2025-08-30T23:00:00.000Z","true","238","Vanderbilt","fbs","SEC","45","2127","Charleston Southern","fcs","Big South-OVC","3"
"1","regular","2025-08-30T23:00:00.000Z","true","2393","Middle Tennessee","fbs","Conference USA","14","2046","Austin Peay","fcs","UAC","34"
"1","regular","2025-08-30T23:00:00.000Z","true","110243","UT Permian Basin","ii","Lone Star","34","2122","Central Oklahoma","ii","Mid America","14"
"1","regular","2025-08-30T23:00:00.000Z","true","124180","Bluefield State","ii","CIAA","23","2839","Greeneville","ii","South Atlantic","49"
"1","regular","2025-08-30T23:00:00.000Z","true","57","Florida","fbs","SEC","55","2341","Long Island University","fcs","NEC","0"
"1","regular","2025-08-30T23:00:00.000Z","true","2653","Troy","fbs","Sun Belt","38","2447","Nicholls","fcs","Southland","20"
"1","regular","2025-08-30T23:00:00.000Z","true","6","South Alabama","fbs","Sun Belt","38","2415","Morgan State","fcs","MEAC","21"
"1","regular","2025-08-30T23:00:00.000Z","true","2755","Grambling","fcs","SWAC","55","2324","Langston University","","","7"
"1","regular","2025-08-30T23:00:00.000Z","true","2306","Kansas State","fbs","Big 12","38","155","North Dakota","fcs","MVFC","35"
"1","regular","2025-08-30T23:00:00.000Z","true","79","Southern Illinois","fcs","MVFC","49","2646","Thomas More College","ii","Great Midwest Athletic","3"
"1","regular","2025-08-30T23:00:00.000Z","true","2916","Incarnate Word","fcs","Southland","31","331","Eastern Washington","fcs","Big Sky","21"
"1","regular","2025-08-30T23:00:00.000Z","true","2377","McNeese","fcs","Southland","54","2347","Louisiana College","","","9"
"1","regular","2025-08-30T23:30:00.000Z","true","130","Michigan","fbs","Big Ten","34","167","New Mexico","fbs","Mountain West","17"
"1","regular","2025-08-30T23:30:00.000Z","true","2348","Louisiana Tech","fbs","Conference USA","24","2545","SE Louisiana","fcs","Southland","0"
"1","regular","2025-08-30T23:30:00.000Z","true","30","USC","fbs","Big Ten","73","2623","Missouri State","fbs","Conference USA","13"
"1","regular","2025-08-30T23:30:00.000Z","true","328","Utah State","fbs","Mountain West","28","2638","UTEP","fbs","Conference USA","16"
"1","regular","2025-08-30T23:30:00.000Z","true","228","Clemson","fbs","ACC","10","99","LSU","fbs","SEC","17"
"1","regular","2025-08-30T23:30:00.000Z","true","2641","Texas Tech","fbs","Big 12","67","2029","Arkansas-Pine Bluff","fcs","SWAC","7"
"1","regular","2025-08-30T23:45:00.000Z","true","145","Ole Miss","fbs","SEC","63","2247","Georgia State","fbs","Sun Belt","7"
"1","regular","2025-08-31T00:00:00.000Z","true","2703","Western New Mexico","ii","Lone Star","35","2001","Adams State","ii","Rocky Mountain","21"
"1","regular","2025-08-31T00:00:00.000Z","true","2640","Texas Southern","fcs","SWAC","21","2504","Prairie View A&M","fcs","SWAC","22"
"1","regular","2025-08-31T00:00:00.000Z","true","249","North Texas","fbs","American Athletic","51","2320","Lamar","fcs","Southland","0"
"1","regular","2025-08-31T00:00:00.000Z","true","2403","Missouri Southern State","ii","Mid America","33","2395","Midwestern State","ii","Lone Star","19"
"1","regular","2025-08-31T00:00:00.000Z","true","326","Texas State","fbs","Sun Belt","52","2199","Eastern Michigan","fbs","Mid-American","27"
"1","regular","2025-08-31T00:00:00.000Z","true","301","San Diego","fcs","Pioneer","17","13","Cal Poly","fcs","Big Sky","41"
"1","regular","2025-08-31T00:00:00.000Z","true","309","Louisiana","fbs","Sun Belt","12","242","Rice","fbs","American Athletic","14"
"1","regular","2025-08-31T00:00:00.000Z","true","252","BYU","fbs","Big 12","69","2502","Portland State","fcs","Big Sky","0"
"1","regular","2025-08-31T00:00:00.000Z","true","202","Tulsa","fbs","American Athletic","35","2000","Abilene Christian","fcs","UAC","7"
"1","regular","2025-08-31T00:00:00.000Z","true","292","UT Rio Grande Valley","fcs","Southland","66","2834","Sul Ross State","ii","Lone Star","0"
"1","regular","2025-08-31T00:30:00.000Z","true","253","Southern Utah","fcs","UAC","46","304","Idaho State","fcs","Big Sky","24"
"1","regular","2025-08-31T01:00:00.000Z","true","2567","SMU","fbs","ACC","42","2837","East Texas A&M","fcs","Southland","13"
"1","regular","2025-08-31T01:00:00.000Z","true","166","New Mexico State","fbs","Conference USA","19","2803","Bryant","fcs","CAA","3"
"1","regular","2025-08-31T01:30:00.000Z","true","278","Fresno State","fbs","Mountain West","42","290","Georgia Southern","fbs","Sun Belt","14"
"1","regular","2025-08-31T02:00:00.000Z","true","9","Arizona State","fbs","Big 12","38","2464","Northern Arizona","fcs","Big Sky","19"
"1","regular","2025-08-31T02:00:00.000Z","true","265","Washington State","fbs","Pac-12","13","70","Idaho","fcs","Big Sky","10"
"1","regular","2025-08-31T02:00:00.000Z","true","3101","Utah Tech","fcs","UAC","24","302","UC Davis","fcs","Big Sky","31"
"1","regular","2025-08-31T02:30:00.000Z","true","204","Oregon State","fbs","Pac-12","15","25","California","fbs","ACC","34"
"1","regular","2025-08-31T02:30:00.000Z","true","12","Arizona","fbs","Big 12","40","62","Hawai'i","fbs","Mountain West","6"
"1","regular","2025-08-31T03:00:00.000Z","true","264","Washington","fbs","Big Ten","38","36","Colorado State","fbs","Mountain West","21"
"1","regular","2025-08-31T03:00:00.000Z","true","26","UCLA","fbs","Big Ten","10","254","Utah","fbs","Big 12","43"
"1","regular","2025-08-31T19:00:00.000Z","true","2579","South Carolina","fbs","SEC","24","259","Virginia Tech","fbs","ACC","11"
"1","regular","2025-08-31T20:00:00.000Z","true","2676","Virginia Union","ii","CIAA","45","2396","Miles College","ii","SIAC","3"
"1","regular","2025-08-31T23:00:00.000Z","true","2657","Tuskegee","ii","SIAC","20","2736","Winston-Salem","ii","CIAA","17"
"1","regular","2025-08-31T23:30:00.000Z","true","2390","Miami","fbs","ACC","27","87","Notre Dame","fbs","FBS Independents","24"
"1","regular","2025-09-02T00:00:00.000Z","true","153","North Carolina","fbs","ACC","14","2628","TCU","fbs","Big 12","48"
"2","regular","2025-09-04T04:00:00.000Z","true","613","South Dakota Mines","ii","Rocky Mountain","9","2392","Michigan Tech","ii","GLIAC","45"
"2","regular","2025-09-04T22:00:00.000Z","true","286","North Carolina Wesleyan","iii","USA South","64","2047","Averett","iii","Old Dominion","12"
"2","regular","2025-09-04T22:00:00.000Z","true","131","Wayne State (MI)","ii","GLIAC","7","2838","Tiffin","ii","Great Midwest Athletic","34"
"2","regular","2025-09-04T22:00:00.000Z","true","2858","PennWest California","ii","Pennsylvania State Athletic","23","2128","University Of Charleston (WV)","ii","Mountain East","19"
"2","regular","2025-09-04T22:00:00.000Z","true","455","West Virginia Wesleyan","ii","Mountain East","20","2134","Clarion","ii","Pennsylvania State Athletic","48"
"2","regular","2025-09-04T23:00:00.000Z","true","628","Valley City State","","","27","124","Augsburg","iii","Minnesota","0"
"2","regular","2025-09-04T23:00:00.000Z","true","2291","Indiana-Pennsylvania","ii","Pennsylvania State Athletic","9","308","Ashland","ii","Great Midwest Athletic","13"
"2","regular","2025-09-04T23:00:00.000Z","true","2568","Southern Arkansas","ii","Great American","49","319","Oklahoma Baptist","ii","Great American","14"
"2","regular","2025-09-04T23:00:00.000Z","true","2085","Buffalo State","iii","Liberty League","0","2781","Brockport","iii","Empire 8","41"
"2","regular","2025-09-04T23:00:00.000Z","true","2639","Texas Lutheran","iii","Southern Collegiate Athletic","14","386","Trinity University TX","iii","Southern Athletic","26"
"2","regular","2025-09-04T23:00:00.000Z","true","388","Lebanon Valley","iii","Mid Atlantic","21","2234","Franklin & Marshall","iii","Centennial","31"
